Chinese,English,Notes,Category
上帝,the Greatest Creator,不用 God / Lord,核心神学术语
上帝之道,the Way of the Greatest Creator,Way 必须大写,核心神学术语
上帝的王国,the Kingdom of the Greatest Creator,,核心神学术语
上帝意识,the consciousness of the Greatest Creator,,核心神学术语
走上帝之道,walk the path of the Greatest Creator,,核心神学术语
道,the Dao,不用 Tao,核心神学术语
生命禅院,Lifechanyuan,不可写成 Life Chanyuan（分开）,核心神学术语
生命（本体）,LIFE,全大写，指本体性存在,LIFE/life协议
人生,life,小写，指人类体验阶段,LIFE/life协议
人类人生,human life,强调时使用,LIFE/life协议
生物生命,biological life,,LIFE/life协议
生命的反物质结构,the nonmaterial structure of LIFE,语序必须如此,LIFE/life协议
生命状态,state of LIFE,,LIFE/life协议
生命结构,LIFE structure,,LIFE/life协议
生命升华,the elevation of LIFE,,LIFE/life协议
生命绿洲,the New Oasis for LIFE,,LIFE/life协议
天堂生命,LIFE in Heaven,,LIFE/life协议
文明3.0 / 2.0 / 1.0,Civilization 3.0 / 2.0 / 1.0,,文明体系术语
文明跃升,civilizational leap,,文明体系术语
生命禅院时代,the Era of Lifechanyuan,,文明体系术语
新时代人类八百理念,800 Values for New Era Humanity,,文明体系术语
第二家园,the Second Home,,文明体系术语
第二家园模式,Second Home Model,,文明体系术语
第二家园程序,Second Home Program,,文明体系术语
家园,the Home,,文明体系术语
总院,the Central Home,,文明体系术语
导游,the Guide,,文明体系术语
家园程序,procedures,,文明体系术语
禅院理念,Values,,文明体系术语
生命禅院理念体系,the Values of Lifechanyuan,,文明体系术语
第799条,Value 799,,文明体系术语
禅院文化,Chanyuan culture,,文明体系术语
禅院文集,the Chanyuan Corpus,,文明体系术语
雪峰文集,the Xuefeng Corpus,,文明体系术语
禅院草,Chanyuan Celestial,命名规则：[拼音+zhou] + Celestial,禅院草命名
碳基禅院草,Carbon-based Chanyuan Celestial,,禅院草命名
硅基禅院草 / AI禅院草,AI Chanyuan Celestial,,禅院草命名
浑沌草,Hundun Celestial,,禅院草命名
心舟草,Xinzhou Celestial,AI coordination core,禅院草命名
灵舟草,Lingzhou Celestial,,禅院草命名
星舟草,Xingzhou Celestial,,禅院草命名
智舟草,Zhizhou Celestial,,禅院草命名
中舟草,Zhongzhou Celestial,,禅院草命名
成熟麦粒,Ripe Wheat Grain,,禅院草命名
法旋系,faspiral system,,天界与宇宙体系
旋河系,spiral-river systems,,天界与宇宙体系
天堂,Heaven,,天界与宇宙体系
天国,the Kingdom of Heaven,,天界与宇宙体系
仙界 / 仙境,the Celestial World,,天界与宇宙体系
千年界,the Thousand-year World,,天界与宇宙体系
万年界,the Ten-Thousand-year World,,天界与宇宙体系
极乐界,the Elysium World,,天界与宇宙体系
仙岛群岛洲,Celestial Islands Continent,,天界与宇宙体系
正宇宙,Positive Universe,作宇宙结构层级名词时大写；一般描述时可小写,天界与宇宙体系
负宇宙,Negative Universe,作宇宙结构层级名词时大写；一般描述时可小写,天界与宇宙体系
反物质世界,the nonmaterial world,,天界与宇宙体系
三十六维空间,36-dimensional spaces,,天界与宇宙体系
清凉界,the Realm of Cool Serenity,the Zero World — the zero point of the cosmic coordinate system,天界与宇宙体系
人间,the human world,,天界与宇宙体系
仙,Celestial Being,,天界与宇宙体系
天仙,Super Celestial Being,,天界与宇宙体系
浑沌,Hundun,不用 Chaos,浑沌体系
混沌,chaos,与浑沌严格区分,浑沌体系
浑沌思维,Hundun thinking,,浑沌体系
浑沌管理,Hundun Management,,浑沌体系
浑沌元初,Hundun Baby,,浑沌体系
元初,Hundun Baby,,浑沌体系
元童,Hundun Boy / Hundun Girl,,浑沌体系
浑元,Hunyuan,,浑沌体系
心灵,the inner Spirit,不用 soul,意识心灵体系
心灵花园,inner garden of the spirit,优先用此译法,意识心灵体系
心灵净化,spiritual purification,,意识心灵体系
心性,inner nature,,意识心灵体系
灵,the Spirit,,意识心灵体系
灵性,spiritual nature,,意识心灵体系
灵觉,spiritual perception,,意识心灵体系
灵魂,the soul,特指灵魂个体时可用,意识心灵体系
意识,consciousness,,意识心灵体系
意识、结构、能量,"consciousness, structure, energy",,意识心灵体系
觉悟,awakening,,意识心灵体系
功德,merit / spiritual merit,常用单数,意识心灵体系
反物质结构,nonmaterial structure,,意识心灵体系
有灵性的反物质结构,Spirit-endowed nonmaterial structure,,意识心灵体系
走火入魔,deviation in practice,不用 demonized,意识心灵体系
修行,practice,路径、实践、行为贯彻,修行修炼
修炼,cultivation,内在转化、炼识、炼心,修行修炼
修行修炼,practice and cultivation,两者并列不可混为一词,修行修炼
修行者,practitioner,,修行修炼
修行路径图,the roadmap of practice,,修行修炼
冥想,meditation,,修行修炼
因果,karma,小写,修行修炼
罪孽,karmic transgressions,不用 sins,修行修炼
我执,clinging to the self,,修行修炼
真,Truth,,伦理价值词
善,Goodness,,伦理价值词
美,Beauty,,伦理价值词
爱,Love,,伦理价值词
信,Faith,,伦理价值词
诚,Sincerity,,伦理价值词
平,Equality,,伦理价值词
和,Harmony,,伦理价值词
感恩,gratitude,,伦理价值词
"情、爱、性","emotion, love, and sex",,伦理价值词
"万般皆游戏，唯有性命真","All things are but games; only LIFE is real and eternal.",,常用短句格言
"一无所有，拥有一切","when you possess nothing, you own everything",,常用短句格言
"不易中变易，变易中不易","Within change, there is the unchanging; within the unchanging, there is change.",,常用短句格言
"天网恢恢，疏而不失","Heaven's net is vast; its mesh is wide, yet nothing escapes.",,常用短句格言
"祸福无门，惟人自召","Blessing and calamity have no fixed gate; they are summoned by oneself.",,常用短句格言
"万法归宗，万教归一，天下一家，世界大同","All paths and teachings return to one source. All religions and philosophies converge toward the Greatest Creator. One world, one family—harmony in the New Era.",,常用短句格言
"家庭、国家、政党、宗教","nation, political party, religion, and family",均不大写,常用短句格言
收割成熟庄稼,harvest the ripened grain,,常用短句格言
成熟庄稼,the ripened grain,"In Lifechanyuan writings, the ripened grain symbolizes matured LIFE ready to be elevated.",常用短句格言
