Serial Number,Chinese Term,Standard English (Chanyuan Style),Refined Category,Category,Notes / Usage Rules
0,【世界模型使用总则】,World-Model Usage Principles,Meta / World Model,Meta,"This glossary defines a closed, self-consistent civilization framework. Terms are structural, non-psychological, non-religious, and non-metaphorical. Meanings must not be substituted with external philosophical, religious, or psychological interpretations."
1,万象生心灵，心灵超万象,"The mind arises from all phenomena, yet transcends all phenomena. ",Consciousness / Mind / Spirit,⚠️ 不用 soul..soul 在禅院体系中不稳定，除非特指“灵魂个体”，否则一律不用。,"In this framework, 'mind' refers to a functional consciousness field, not emotions, personality traits, or subjective moods."
2,人人开心快乐自由幸福,"everyone joyful, free, and blessed , 名词用: joy, freedom, and blessedness for all",Consciousness / Mind / Spirit,Value,"In this framework, 'mind' refers to a functional consciousness field, not emotions, personality traits, or subjective moods."
3,八大思维,the Eight Modes of Thinking,Consciousness / Mind / Spirit,Thinking System,"These are progressive structural levels of thinking, not interchangeable styles. They represent an irreversible hierarchy of cognitive structure."
4,物质思维 ,Material thinking,Consciousness / Mind / Spirit,,
5,形象思维,Image thinking,Consciousness / Mind / Spirit,Thinking System,"In this framework, 'mind' refers to a functional consciousness field, not emotions, personality traits, or subjective moods."
6,联想思维,Associative thinking,Consciousness / Mind / Spirit,Thinking System,"In this framework, 'mind' refers to a functional consciousness field, not emotions, personality traits, or subjective moods."
7,迷幻思维,Illusory thinking,Consciousness / Mind / Spirit,Thinking System,"In this framework, 'mind' refers to a functional consciousness field, not emotions, personality traits, or subjective moods."
8,心像思维,Mind-image thinking,Consciousness / Mind / Spirit,Thinking System,"In this framework, 'mind' refers to a functional consciousness field, not emotions, personality traits, or subjective moods."
9,太极思维,Taiji thinking,Consciousness / Mind / Spirit,Thinking System,"In this framework, 'mind' refers to a functional consciousness field, not emotions, personality traits, or subjective moods."
10,无相思维,Formless thinking,Consciousness / Mind / Spirit,,
11,浑沌思维,Hundun thinking,Consciousness / Mind / Spirit,Thinking System,"In this framework, 'mind' refers to a functional consciousness field, not emotions, personality traits, or subjective moods."
12,利令智昏，智令心昏，心令性昏,"Benefit blinds intelligence;
intelligence clouds the mind;
the mind obscures one’s nature. ",Consciousness / Mind / Spirit,Pending Extraction,"In this framework, 'mind' refers to a functional consciousness field, not emotions, personality traits, or subjective moods."
13,反常思维,unconventional thinking,Consciousness / Mind / Spirit,Thinking System,"In this framework, 'mind' refers to a functional consciousness field, not emotions, personality traits, or subjective moods."
14,心性,inner nature,Consciousness / Mind / Spirit,Mind / Spirit,"In this framework, 'mind' refers to a functional consciousness field, not emotions, personality traits, or subjective moods."
15,心智,the mind,Consciousness / Mind / Spirit,Mind / Spirit,"In this framework, 'mind' refers to a functional consciousness field, not emotions, personality traits, or subjective moods."
16,心灵,the inner Spirit,Consciousness / Mind / Spirit,Mind / Spirit,"In this framework, 'mind' refers to a functional consciousness field, not emotions, personality traits, or subjective moods."
17,心灵净化,spiritual purification,Consciousness / Mind / Spirit,Path,"In this framework, 'mind' refers to a functional consciousness field, not emotions, personality traits, or subjective moods."
18,心灵危机,the crisis of the spirit,Consciousness / Mind / Spirit,Problem,"In this framework, 'mind' refers to a functional consciousness field, not emotions, personality traits, or subjective moods."
19,心灵感应,telepathy,Consciousness / Mind / Spirit,Mind / Spirit,"In this framework, 'mind' refers to a functional consciousness field, not emotions, personality traits, or subjective moods."
20,心灵的危机,a spiritual crisis,Consciousness / Mind / Spirit,⚠️ 不用 soul,"In this framework, 'mind' refers to a functional consciousness field, not emotions, personality traits, or subjective moods."
21,心灵花园,inner garden of the spirit/ soul garden,Consciousness / Mind / Spirit,前者更稳、更深、更不容易被误读 ,"In this framework, 'mind' refers to a functional consciousness field, not emotions, personality traits, or subjective moods."
22,心灵觉醒,spiritual awakening,Consciousness / Mind / Spirit,Cultivation,"In this framework, 'mind' refers to a functional consciousness field, not emotions, personality traits, or subjective moods."
23,心灵财富,inner wealth of the spirit/ the wealth of the spirit ,Consciousness / Mind / Spirit,❌ 不用 soul,"In this framework, 'mind' refers to a functional consciousness field, not emotions, personality traits, or subjective moods."
